Episode,Collision,Average Speed,Right Lane Percentage,Lane Changes,Unsafe Lane Changes,Average Front Car Distance
1,0,21.358609794628755,96.66666666666667,2,0,58.94398889422614
2,0,20.191943127962084,0.0,1,0,39.27314572628028
3,0,20.191943127962084,73.33333333333333,3,0,35.342154533758816
4,0,21.025276461295416,0.0,2,0,63.93538633389444
5,0,21.858609794628755,100.0,1,0,51.86761439808285
6,0,21.85860979462875,46.666666666666664,3,2,29.148657484207245
7,0,20.025276461295423,76.66666666666667,5,0,49.42711178243423
8,0,20.35860979462875,96.66666666666667,2,1,28.879163059005197
9,0,20.025276461295423,80.0,2,0,45.44430426336741
10,0,23.02521226767362,23.333333333333332,3,2,65.40040965516397
11,1,23.479903817761173,91.66666666666666,2,1,30.103680493924063
12,0,20.691943127961476,36.666666666666664,4,1,34.13877378752439
13,0,20.191943127962084,0.0,1,0,59.399243728514314
14,0,20.691943127962084,100.0,1,0,60.568943370082934
15,0,20.358609794628673,36.666666666666664,3,1,46.341332761730904
16,0,21.358609794628748,100.0,1,0,55.22966940108695
17,0,21.85860979462422,0.0,1,0,72.7713444769466
18,0,21.025276461295427,100.0,1,0,65.22123643848117
19,1,23.761616161616164,90.9090909090909,2,1,31.060704664090576
20,0,21.191943110603876,73.33333333333333,5,1,52.085837596034104
21,0,21.691943127962084,0.0,2,1,61.40810817184271
22,0,21.025276461295416,96.66666666666667,2,0,30.290989331058935
23,0,20.691943127962084,100.0,1,0,76.36278692513524
24,0,21.191943127962084,100.0,1,0,45.949870437732166
25,0,22.525276461295416,23.333333333333332,3,2,51.385318787668396
26,0,20.358559673184853,3.3333333333333335,2,0,48.73412436368649
27,0,20.191943127962084,70.0,4,0,37.57818434516883
28,0,21.333333350692232,66.66666666666666,4,0,48.566774177544474
29,0,20.025276461295423,90.0,7,0,71.6503877735871
30,0,20.691943127962084,70.0,3,1,39.45701646993515
31,0,20.191943127962084,0.0,1,0,91.29607814956424
32,0,21.669937533648675,100.0,1,0,82.41816831014326
33,0,22.855719425181842,0.0,6,2,90.92604237577893
34,0,20.025276461295423,0.0,1,0,120.29913603720517
35,0,20.85860979462875,0.0,7,1,93.88612811168268
36,0,21.025276461295416,43.333333333333336,3,2,51.31985753391262
37,0,20.191943127962087,100.0,1,0,43.8926628431365
38,1,19.82938388625593,94.73684210526315,3,0,26.83366299944359
39,0,20.025276461295423,50.0,2,0,52.68153142550029
40,0,20.35860979462875,80.0,4,0,26.296244285089916
41,0,20.025276461295423,0.0,1,0,82.86018072235768
42,1,22.94791190367322,12.5,2,1,61.24555331964567
43,0,20.025276461295423,0.0,1,0,69.6928502351435
44,0,20.025276461295423,33.33333333333333,7,0,58.74775313158098
45,0,20.025276461295423,100.0,1,0,52.43470902090007
46,0,21.69194312791732,90.0,2,0,47.99367258538912
47,0,20.191943127962084,100.0,1,0,42.30665469328622
48,0,22.35860979462875,43.333333333333336,3,1,42.40548933575333
49,0,21.191942981371014,33.33333333333333,5,1,44.80045435966726
50,0,21.19194312795619,0.0,3,0,57.31320927594275
51,1,23.91460905349794,100.0,1,0,12.729993662289033
52,0,20.191943127962084,86.66666666666667,2,0,43.36017944378838
53,0,20.191943127962084,0.0,1,0,85.67950515932236
54,0,21.191942979090285,63.33333333333333,3,0,59.05441501910703
55,0,20.191943127962087,86.66666666666667,2,0,52.130571497690845
56,0,21.025276461295423,16.666666666666664,2,0,59.6138784209097
57,0,22.691934545248856,86.66666666666667,7,2,62.33810807869847
58,0,20.35860979462875,96.66666666666667,2,0,27.7667452570465
59,0,20.35571953964278,100.0,1,0,129.8414160362583
60,0,21.85860979462875,63.33333333333333,3,1,41.50201235438053
61,0,23.355281224491957,0.0,3,1,45.17491936659012
62,0,22.49995087955834,3.3333333333333335,3,0,62.7881865285545
63,0,20.35860979462875,100.0,1,0,125.20999500206057
64,0,20.025276461295423,100.0,1,0,68.42600893814992
65,0,22.025276461295416,0.0,4,0,123.1425586772493
66,0,20.025276461295423,100.0,1,0,46.22419273440396
67,0,20.025276461295423,0.0,1,0,75.9388122850478
68,0,20.691943127962087,100.0,1,0,47.70847365763999
69,0,20.691943127962084,40.0,6,2,29.947346620785986
70,0,20.85860979462875,100.0,1,0,23.59316573827673
71,0,21.025276461295416,83.33333333333334,8,0,51.23113902176718
72,0,20.858609794628755,100.0,1,0,96.90473909588904
73,0,20.191943127962084,0.0,1,0,51.83974208235998
74,0,21.00043833250972,93.33333333333333,3,1,88.5869797016296
75,0,20.858559673185443,80.0,6,0,44.63737190320298
76,0,20.69194312796208,93.33333333333333,3,0,50.05085445972374
77,0,22.191942996443892,0.0,4,0,89.83703803888193
78,0,20.525276461295416,0.0,2,0,70.56216481252544
79,0,20.025276461295423,56.666666666666664,2,1,65.1729148806766
80,0,20.35860979462875,86.66666666666667,3,0,64.74051453820736
81,0,21.025276461295423,100.0,1,0,77.57945257407688
82,0,20.691943127962087,100.0,1,0,84.49037538737973
83,0,21.691943127962084,100.0,1,0,127.64441798068326
84,0,22.47478886286053,100.0,1,0,101.13608909388871
85,0,20.525276461295416,96.66666666666667,2,1,37.62475684225125
86,1,28.47651798459537,0.0,3,2,48.419829930984676
87,0,23.025267861489223,0.0,1,0,88.73082428224095
88,0,21.358609794628755,100.0,1,0,49.63001536722298
89,0,21.358609794628755,90.0,2,0,46.14368013076283
90,0,20.025276461295423,0.0,1,0,77.66763989378386
91,0,21.02527646125578,96.66666666666667,3,0,41.489592914451336
92,0,21.691943127962077,0.0,4,0,78.31268602533412
93,0,21.691943127962084,100.0,1,0,38.81076725731985
94,0,20.358609794628755,53.333333333333336,4,1,54.67419913445087
95,0,20.191943127962084,0.0,1,0,56.90467387392608
96,1,23.053968253968254,28.57142857142857,5,3,35.42037166475114
97,0,22.33665532047434,0.0,1,0,68.1528455356374
98,0,20.191943127962084,86.66666666666667,2,1,31.20566847523866
99,0,20.191943127962084,3.3333333333333335,3,0,86.54656533383488
100,0,23.025276461290197,96.66666666666667,3,1,80.8921762514072
