Episode,Collision,Average Speed,Right Lane Percentage,Lane Changes,Unsafe Lane Changes,Average Front Car Distance
1,0,22.191943127627315,96.66666666666667,2,0,31.222357024626138
2,1,25.51236951478023,0.0,1,0,30.174868996873418
3,1,24.10997959635532,28.57142857142857,3,0,22.271813153397886
4,0,22.499950879557762,76.66666666666667,6,2,24.742092147559507
5,0,24.47473214106249,26.666666666666668,7,2,48.4943518273451
6,0,23.525226337867124,96.66666666666667,2,1,30.97272913564449
7,1,25.677854799507607,31.25,4,2,22.24085759975612
8,1,22.968948231918837,96.29629629629629,2,1,29.62102619938208
9,1,24.704284224377727,94.11764705882352,2,0,30.714266624212623
10,0,23.333721414866552,16.666666666666664,9,3,30.75337526353491
11,0,24.669499201138958,50.0,8,6,33.360474174731316
12,1,27.992855853976867,52.38095238095239,4,2,54.644193310826616
13,1,25.459427572032318,10.0,3,0,24.10262518540268
14,1,22.666585421088403,0.0,3,1,30.238524745805567
15,0,21.52522633985211,90.0,5,2,23.474049507070482
16,0,21.522385334584833,100.0,1,0,23.18457080386474
17,1,23.871188399138322,0.0,2,0,29.797596074808325
18,0,22.475219594013936,63.33333333333333,4,1,32.34626413108138
19,1,27.801945971833717,0.0,3,2,40.902554667961084
20,0,23.33617446787765,33.33333333333333,4,1,33.04673572240838
21,1,25.978003251661775,100.0,1,0,36.841588543488804
22,0,25.47477380932593,60.0,4,0,48.05139548208519
23,0,22.19156251824746,46.666666666666664,3,2,21.618039417720993
24,0,25.19156163372934,53.333333333333336,3,2,41.57856862127436
25,0,23.830005732062833,73.33333333333333,6,1,29.212354204218407
26,0,21.025276461290883,0.0,3,0,38.10515744839501
27,1,23.826100714111867,30.76923076923077,5,2,33.115598907340825
28,0,22.025276461295412,33.33333333333333,5,2,38.03580466883155
29,1,22.079922447221023,100.0,1,0,20.475813497392185
30,1,27.830331923951103,0.0,2,0,56.28092438240798
31,0,22.69194312796208,0.0,2,1,35.3495611839622
32,0,23.52527646125578,46.666666666666664,6,3,41.85034039328102
33,0,20.691943127962084,96.66666666666667,2,0,19.523727578839985
34,1,22.887118394354097,81.81818181818183,2,1,20.617584076824844
35,1,25.984758670340852,100.0,1,0,37.00358947641336
36,0,23.525276461295412,100.0,1,0,55.57047477751867
37,0,26.1662852047923,30.0,7,3,47.19025008549712
38,0,22.691934674746957,66.66666666666666,6,2,28.884529959432488
39,0,23.191936512534458,96.66666666666667,2,1,43.73380029478628
40,1,22.861088783531294,50.0,3,1,32.905751942242844
41,0,23.525276461295416,0.0,2,1,44.33269012956536
42,0,25.166717674651377,0.0,2,1,57.074658217300694
43,1,24.468838065231502,34.61538461538461,8,3,27.239228718336765
44,0,21.978490458704105,40.0,4,0,25.444190798374134
45,1,28.003182959606818,0.0,2,0,46.46550562179064
46,0,25.19194199772818,63.33333333333333,5,2,46.62606847050761
47,0,25.358220602200884,70.0,5,2,48.61957911052677
48,0,22.525276461295416,80.0,3,0,27.253023977846293
49,0,22.191943127962084,80.0,4,1,25.860312507413248
50,1,24.158601824760787,0.0,3,1,31.35903086151451
51,0,23.858609794628745,66.66666666666666,6,0,35.083050645731554
52,0,23.858608681452793,80.0,3,1,23.152727994285097
53,0,23.189052872976013,40.0,6,3,29.24550679269714
54,0,23.19194223917958,63.33333333333333,5,3,23.85761619020008
55,0,23.525212006662635,0.0,5,1,43.84008822791093
56,1,23.26468065900604,100.0,1,0,29.58636445986255
57,1,25.837749420337545,58.82352941176471,3,0,37.860962907756985
58,0,23.358229035746522,53.333333333333336,6,3,29.39822978014007
59,1,24.660993811120655,29.629629629629626,8,2,37.993010024679975
60,0,22.025276461295416,100.0,1,0,23.96050959069235
61,0,23.191878936626928,86.66666666666667,3,2,37.08462474637496
62,1,24.66100130904145,0.0,3,2,25.235733265820883
63,1,27.71683488211802,0.0,1,0,47.097208361345054
64,1,23.659893366143343,100.0,1,0,29.92910459696142
65,1,23.75801175356017,64.0,3,0,37.1877448240502
66,0,22.669995254161766,0.0,6,2,32.154157776516875
67,1,22.395149536241306,0.0,3,1,30.70141781681933
68,0,25.808501921313052,0.0,4,1,45.43000249609317
69,1,22.998224779959376,71.42857142857143,4,1,25.044121872642364
70,0,21.691943127962087,0.0,2,0,23.858543835538796
71,0,23.19194201246568,33.33333333333333,7,2,37.71483467891621
72,1,25.713232041318083,100.0,1,0,52.91310811802
73,0,25.189051759800137,100.0,1,0,41.654992041210384
74,0,23.191553916234678,20.0,11,0,32.73273735280694
75,0,24.189052872970986,0.0,7,1,47.54707973925471
76,0,24.525276461260216,46.666666666666664,3,1,34.54200954978018
77,0,23.002832666291432,70.0,3,2,28.98989006956235
78,1,23.237410250594454,33.33333333333333,4,3,31.00257304025204
79,0,26.811822659563187,10.0,5,3,60.89852915443496
80,0,21.858229184918667,100.0,1,0,23.974807272205837
81,1,21.523699675786187,94.73684210526315,2,0,26.195614831362846
82,1,25.9540651907418,0.0,1,0,32.06053190425001
83,1,24.58748331518055,29.166666666666668,5,2,26.498511087771025
84,1,25.798017050120855,100.0,1,0,49.44305921044512
85,1,24.058609794628783,100.0,1,0,39.81351708922861
86,0,22.69194312796208,26.666666666666668,5,2,36.26082511172275
87,0,22.52527559211291,73.33333333333333,4,1,21.31220628705548
88,1,24.938471512710176,30.0,4,2,45.38745207106445
89,1,29.376989351120475,0.0,1,0,73.08135232080453
90,0,25.641397806732712,63.33333333333333,8,5,34.50565438100882
91,1,23.58804820529335,52.63157894736842,3,0,26.807195218753183
92,0,26.308065472375947,80.0,5,2,52.27835902473517
93,0,25.141827537219392,50.0,7,3,36.15199336679052
94,0,25.52522633786642,76.66666666666667,5,0,34.13869513354425
95,0,20.858609794628755,96.66666666666667,2,0,14.167425497556318
96,0,20.858609680168502,0.0,2,1,35.838050074575754
97,0,24.145157122829243,66.66666666666666,6,4,37.286264131549956
98,0,21.358609680134087,100.0,1,0,29.44405912668938
99,1,22.724120728378818,94.73684210526315,2,0,19.93824461718499
100,0,22.83665532046855,96.66666666666667,2,0,26.646266037280878
